date,value
31.12.28,37.88
31.12.29,-11.91
31.12.30,-28.48
31.12.31,-47.07
31.12.32,-15.15
30.12.33,46.59
31.12.34,-5.94
31.12.35,41.37
31.12.36,27.92
31.12.37,-38.59
31.12.38,25.21
30.12.39,-5.45
31.12.40,-15.29
31.12.41,-17.86
31.12.42,12.43
31.12.43,19.45
30.12.44,13.8
31.12.45,30.72
31.12.46,-11.87
31.12.47,0
31.12.48,-0.65
31.12.49,10.26
30.12.50,21.78
31.12.51,16.46
31.12.52,11.78
31.12.53,-6.62
31.12.54,45.02
30.12.55,26.4
31.12.56,2.62
31.12.57,-14.31
31.12.58,38.06
31.12.59,8.48
30.12.60,-2.97
29.12.61,23.13
31.12.62,-11.81
31.12.63,18.89
31.12.64,12.97
31.12.65,9.06
30.12.66,-13.09
29.12.67,20.09
31.12.68,7.66
31.12.69,-11.36
31.12.70,0.1
31.12.71,10.79
29.12.72,15.63
31.12.73,-17.37
31.12.74,-29.72
31.12.75,31.55
31.12.76,19.15
30.12.77,-11.5
29.12.78,1.06
31.12.79,12.31
31.12.80,25.77
31.12.81,-9.73
31.12.82,14.76
30.12.83,17.27
31.12.84,1.4
31.12.85,26.33
31.12.86,14.62
31.12.87,2.03
30.12.88,12.4
29.12.89,27.25
31.12.90,-6.56
31.12.91,26.31
31.12.92,4.46
31.12.93,7.06
30.12.94,-1.54
29.12.95,34.11
31.12.96,20.26
31.12.97,31.01
31.12.98,26.67
31.12.99,19.53
29.12.00,-10.14
31.12.01,-13.04
31.12.02,-23.37
31.12.03,26.38
31.12.04,8.99
30.12.05,3
29.12.06,13.62
31.12.07,3.53
31.12.08,-38.49
31.12.09,23.45
31.12.10,12.78
30.12.11,0
31.12.12,13.41
31.12.13,29.6
31.12.14,11.39
31.12.15,-0.73
30.12.16,9.54
29.12.17,19.42
31.12.18,-6.24
31.12.19,28.88
31.12.20,16.26
03.03.21,1.69
